patent_number,title,enhanced_title,novelty,advantage,biology,examples,chemistry,first_publication_date,first_priority_number,first_priority_date,last_change_date,application_number,application_date
WO-2025045208,Heteroaryl-heterocycloalkyl-based GLP-1 agonists,"New substituted heterocyclic compounds are GLP-1 agonists - useful for treating diabetes mellitus, gout and myocardial infarction.","New substituted heterocyclic compounds, their salts or isotopically enriched analogs, stereoisomers and prodrugs, compositions and combinations comprising them and their use for treating eg type 1 diabetes mellitus, obesity, gout, congestive heart failure, myocardial infarction, chronic renal failure, diabetic neuropathy, arthritis, psoriasis and Alzheimer's disease, are claimed. The compounds are disclosed to be GLP-1 agonists.",The compounds effectively stimulate insulin production.,"In vitro cAMP assays were performed to evaluate the activation of GLP-1 receptor by the compounds using pancreatic ?-cells, and (I) exhibited EC50 of 0.00082 µM (biological example 1, pages 124-125; table 3).",,"Several compounds including 3-[(1S,2S)-1-[2-({3-[5-(3-{4-[diethyl(oxo)-?5-phosphanyl]-3-(methylamino)phenyl}-2-oxoimidazol-1-yl)-1-(4-fluoro-3,5-dimethylphenyl)pyrazol-4-yl]azetidin-1-yl}carbonyl)-5-[(4S)-2,2-dimethyl-3,4,5,6-tetrahydro-2H-pyran-4-yl]indol-1-yl]-2-methylcyclopropyl]-5H,4H-1,2,4-oxadiazol-5-one (compound 128; I) (example A6, page 116; table 1, page 56; claim 39, page 135) are specifically claimed. A Markush structure is presented (claim 1, page 126).",2025-03-06,WO2023CN116141,2023-08-31,2025-03-19,,
WO-2025045124,SOAT1 inhibitor and use thereof,"New substituted heterocyclic compounds are SOAT1 inhibitors - useful for treating cancer, autoimmune, inflammatory and infectious diseases, Alzheimer's disease and stroke.","New substituted heterocyclic compounds, stereoisomer, an isotopic variant thereof, solvate, their salts, and compositions and kits comprising them, and their use for treating disease associated with SOAT1 activity such as cancer,autoimmune diseases, inflammatory diseases, inflammatory bowel disease, infectious diseases, arthritis, autoimmune demyelinating disorders, Alzheimer's disease, stroke and multiple sclerosis by inhibiting intracellular SOAT1 activity are claimed.",No specific advanatge is given.,"An in vivo study was conducted to evaluate anticancer activity of (I) on BALB/c mouse CT26 transplanted tumor model. Results showed that when treated with (I), tumor volume was found to be 250 mm3 (example 24, page 51; figure 2D, page 14-15).",,"Several compounds including compound 5 (I; 6-methyl-4-(1-methyl-1H-imidazol-2-yl)-1-(3-trifluoromethylphenyl)-4,6,7,8-tetrahydro-1,6-naphthyridine-2,5(1H,3H)-dione) (page 47; claim 6, page 67) are specifically claimed. A Markush structure is presented (claim 1, page 66).",2025-03-06,CN202311102058,2023-08-29,2025-03-19,,
WO-2025045123,Compound for regulating activity of microrna-124,New substituted heterocyclic compounds are microRNA-124 activity regulators - useful for treating inflammatory diseases.,"New substituted heterocyclic compounds, their salts, process for their preparation, and compositions comprising them, and their use for treating as a microRNA-124 regulator in the preparation of a medicament for preventing or treating inflammatory diseases such as inflammatory bowel disease, rheumatoid arthritis, Crohn's disease, ulcerative colitis, multiple sclerosis, Alzheimer's disease, Parkinson's disease, osteoarthritis, atherosclerosis and asthma are claimed.",No specific advantage is given.,"An in vivo study was conducted to evaluate pharmacokinetic activity of (I) on male SD rats. Results showed that when treated with (I), half-life, Tmax, Cmax and AUC was found to be 8.7 hrs, 6 hrs, 389 ng/ml and 5573 h*ng/mL respectively (example 3, page 58-59; table 7, page 59).",,"Several compounds including compound 44 (I) (claim 8, page 74) are specifically claimed. A Markush structure is presented (claim 1, page 61).",2025-03-06,CN202311104097,2023-08-30,2025-03-12,,
WO-2025043434,Drug for preventing and/or treating Alzheimer's disease,New CF3CN derivatives are TrkB receptor agonists - useful for treating Alzheimer's disease,"New CF3CN derivatives or compounds, their salts, stereoisomers, esters, prodrugs, and/or solvates and compositions and combinations comprising them and their use as TrkB agonists for treating Alzheimer's disease are claimed. Also claimed is an oral or nasal liposome or nanoparticle composition comprising the compounds.",The compounds exhibits more bioavailability.,"An in vivo PK study was conducted in 2-month-old ICR mice to determine the potency of the compounds. Results showed an AUC, Cmax, and Tmax values of 5609.404 ng/mL*h, 7469.15 ng/mL, and 0.25h respectively (page 16, fig 12-13)",,"Four compounds including compound 2 (I) (page 3, claim 1, page 17) are specifically claimed.",2025-03-06,WO2023CN115202,2023-08-28,2025-03-18,,
WO-2025043316,"Process for obtaining anti-inflammatory compounds, said compounds, pharmaceutical composition and use of said compounds and of the pharmaceutical composition",New spilanthol anti-inflammatory compounds and their preparation - comprising synthesis of isobutylphosphonatoacetamide and further manipulative steps.,"A process of obtaining non-steroidal anti-inflammatory compounds comprising synthesis of isobutylphosphonatoacetamide, followed by obtaining intermediates (eg aldehydes), Sonogashira reaction, Swern oxidation reaction, Horner-Wadsworth-Emmons reaction, and removal of the t-butyldimethylsilyl group is claimed. Also claimed are five new spilanthol derivatives and compositions comprising them and their use for treating eg migraines, rheumatism, osteoarthritis, infections, orthopedic injuries, asthma, allergic rhinitis, inflammatory skin or systemic diseases. The compounds are disclosed to act as prostaglandin E2 and leukotriene B4 production inhibitors and are derivatives of spilanthol.",The process is simple and high yielding and the products are potent and sate and are potent alternatives to corticosteroids.,An in vivo test was performed to determine the efficiency of test compounds on ear edema in mice induced by Croton oil. Results revealed that (I) showed the most potent activity in this in vivo analysis of topical anti-edematogenic activity and the graphical illustration showed that (I) decreased edema to 0.0025 g which is better compared to other compounds (pages 109-110; figure 8).,"The synthesis of (II) via intermediate (I) is described (pages 61, 62 and 84).","5-(4-Allyl-2-methoxyphenyl)pent-4-ynal is (I; compound 8.c) (pages 59 and 84). Four compounds including (E)-7-(4-allyl-2-methoxyphenyl)-N-isobutylhept-2-en-6-ynamide (II; HE-8) (page 42; claim 14, page 117) are specifically claimed. A Markush structure is presented (claim 13, page 116).",2025-03-06,BR10202317445; BR202317445,2023-08-29,2025-03-18,,
WO-2025044858,Sulfoximine compound and use thereof,"New sulfoximine compounds are LRRK2 protein kinase inhibitors - useful for treating neurodegenerative disease, an immune-related disease, cancer and tuberculosis.","New sulfoximine compounds, or its stereoisomer, tautomer, isotope-labeled substance, salt, and composition comprising them are claimed. in the preparation of an LRRK2 protein kinase inhibitor and for treating and/or preventing LRRK2 protein kinase-related diseases, such as neurodegenerative disease, an immune-related disease or a cancer, specifically comprising Parkinson's disease, Alzheimer's disease, Huntington's disease, Crohn's disease, inflammatory bowel disease, colitis, tuberculosis, leprosy, melanoma, non-melanoma skin cancer or breast cancer.","The compounds exhibit good inhibitory activity, oral absorption and brain permeability against LRRK2 protein kinase.","An in vivo oral blood drug concentration test and brain permeability test was performed to determine the effect of (I) in C57BL/6JNifdc mice. (I) exhibited a blood drug concentration of 4775 ng/mL at 0.5 h and 4672 ng/mL at 1.0 h, with a brain drug concentration of 2939 ng/g at 1.0 h, indicating strong brain penetration (Biological test example-3, table 4; pages 22-23).",,"Several compounds are specifically claimed including compound 19 (I) (claim 6, page 26). A Markush structure is presented (claim 1, page 24).",2025-02-28,CN202311097010,2023-08-28,2025-03-17,,
WO-2025044926,Thienylsulfonyl carbamates as AT2R agonists,"New thienylsulfonyl carbamate derivatives are AT2R agonists - useful for treating pneumonia, pulmonary hypertension, psoriasis, cancers, organ rejection, and cognitive dysfunction.","New thienylsulfonyl carbamate derivatives, their salts, tautomers, stereoisomers, hydrates, solvates, prodrugs, compositions comprising them, and their use as AT2R agonists for treating diseases associated with Ang II or AT2R including pneumonia, pulmonary hypertension, renal failure, myocardial infarction, psoriasis, cancers, organ rejection, liver disease, cognitive dysfunction, and asthma, are claimed.","The compounds have excellent stimulation effect on AT2R, and good pharmacokinetic properties.","In an in vivo pharmacokinetic experiment, The Cmax (in ng/mL) and AUC0-t (h ng/mL) values of (I) and control compound 1 from WO2021229244 at 5 mpk in cynomolgus monkeys were found to be 5309.2 and 7794.1; and 1316.7 and 4922.7, respectively (example 7, page 49; table 5).",,"Several compounds including methyl (5-isobutyl-4-methyl-3-(4-((2-(trifluoromethyl)-1H-imidazol-1-yl)methyl)phenyl)thiophen-2-yl)sulfonylcarbamate (I) (compound I-9, example 5, page 24; claim 9, page 55) are specifically claimed. A Markush structure is presented (claim 1, page 51).",2025-02-25,CN202311089313,2023-08-25,2025-03-13,,
US-20250092051,NLRP3 modulators and use thereof,"New 8-azahypoxanthine derivatives are NLRP-3 inflammasome inhibitors - useful for treating diseases including multiple sclerosis, inflammatory bowel disease and arteriosclerosis.","New 8-azahypoxanthine derivatives, their salts, solvates, clathrates, hydrates, stereoisomers, tautomers, compositions comprising them, and their use as NLRP-3 inflammasome inhibitors for treating diseases including multiple sclerosis, inflammatory bowel disease, arteriosclerosis, non-alcoholic steatohepatitis, gout, ischemic heart disease, Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis and traumatic brain injury, are claimed.",No specific advantage is given.,"In an in vitro assay, (I) exhibited an IC50 value of < 2.5 nm against NLRP-1 in THP-1 cells (example 112, pages 14-20; table 2).",,"Several compounds including 2-(4-bromo-2,6-dimethylphenyl)-5-morpholino-2,6-dihydro-7H-[1,2,3]triazolo[4,5-d]pyrimidin-7-one (I) (compound 1, example 1, page 1; table 2, page 15) are exemplified. No compounds are specifically claimed. A Markush structure is presented (claim 1, page 22).",2025-03-20,US2023537804,2023-09-11,2025-04-08,,
WO-2025059641,PDE1 inhibitors,"Novel substituted heterocyclic compounds are PDE1 inhibitors - useful for treating eg diabetic kidney disease, hypertension, and ischemic stroke.","Novel substituted heterocyclic compounds, their salts, composition comprising them and a process for preparation of a compound, is claimed. The compounds are claimed to be useful for treating diabetic kidney disease, acute kidney injury, hypertension, Parkinson's Disease, angina, myocardial infarction, heart failure, cognitive deficits associated with Alzheimer's disease and schizophrenia and ischemic stroke, are claimed. The compounds are stated to act as PDE1 inhibitors.","The compounds are selective PDE1 inhibitors with improved potency, reduced CYP induction, and minimized cardiac toxicity for therapeutic applications.",An in vitro test was conducted to evaluate the PDE1 inhibitory potency of test compounds using a radiometric scintillation proximity assay. (I) showed an PDE1A IC50 value of 1.41nM (page 14-15; table 1).,,"6-Ethyl-1-(1-methylcyclopropyl)-[1,2,4]triazolo[4,3-a]quinoxalin-4(5H)-one (I) (example 1, page 13; claim 8, page 25) is only compound specifically claimed. A Markush structure is presented (claim 1, page 24).",2025-03-20,US2023582662,2023-09-14,2025-04-02,,
WO-2025057074,N-Aryl benzamide derivatives as P2X7 receptor antagonists,"New N-aryl benzamide derivatives are P2X7 receptor antagonists - useful for treating kidney disease, endocrine disorders and neurodegenerative disorders.","New heterocyclic compounds, their salts, or an isotopic form, a stereoisomers, compositions and combinations comprising them and their use as P2X7 receptor antagonists for treating acute kidney disease, endocrine disorders, neurodegenerative disorders, psychiatric disorders, neuropathic pain, cancer, headaches, osteoarthritis, gout and psoriasis are claimed.",The compounds are highly brain penetrant and showed efficacy in diabetic and chronic constriction injury model of neuropathic pain.,"An in vivo test was conducted in male Wistar rats to evaluate the efficacy of P2X7 receptor antagonists in treating diabetic neuropathic pain. The test compounds were administered orally at a dose of 3 mg/kg. The results showed significant improvement in paw withdrawal thresholds (PWTs) using (I). In the diabetic neuropathic pain model, PWTs increased from ?4g to higher values post-treatment (example 40, page 37, table 4)",,"Several compounds including N-benzothiazol-6-yl-2-chloro-3-trifluoromethyl-benzamide (I) (example 4, page 26; claim 2, page 40) are specifically claimed. A Markush structure is presented (claim 1, page 39)",2025-03-20,IN202341061560,2023-09-13,2025-04-09,,
