company_id,name
company_otsuka_pharmaceutical_co_ltd,Otsuka Pharmaceutical Co Ltd
company_tsinghua_university,Tsinghua University
company_yichang_humanwell_pharmaceutical_co_ltd,Yichang Humanwell Pharmaceutical Co Ltd
company_university_of_north_carolina_greensboro,University of North Carolina Greensboro
company_jiangsu_nhwa_pharmaceutical_co_ltd,Jiangsu Nhwa Pharmaceutical Co Ltd
company_mydecine_llc,Mydecine LLC
company_ku_leuven_r_d,KU Leuven R&D
company_vlaams_instituut_voor_biotechnologie_vzw,Vlaams Instituut voor Biotechnologie VZW
company_vrije_universiteit_brussel,Vrije Universiteit Brussel
company_shanghai_simr_biotech_co_ltd,Shanghai SIMR Biotech Co Ltd
company_shanghai_simrd_biotech_co_ltd,Shanghai SIMRD Biotech Co Ltd
company_mitokinin_inc,Mitokinin Inc
company_university_of_mississippi,University of Mississippi
company_industry-university_cooperation_foundation_hanyang_university,Industry-University Cooperation Foundation Hanyang University
company_university_of_maryland_baltimore,University Of Maryland Baltimore
company_pic_therapeutics,Pic Therapeutics
company_alexander_shulgin_research_institute,Alexander Shulgin Research Institute
company_galyan_bio_inc,GALYAN BIO INC
company_ecole_nationale_superieure_de_chimie_de_montpellier,Ecole Nationale Superieure de Chimie de Montpellier
company_mt-act_sas,MT-act SAS
company_universit_de_montpellier,Université de Montpellier
company_hangzhou_healzen_therapeutics_co_ltd,Hangzhou Healzen Therapeutics Co Ltd
company_hangzhou_hertz_pharmaceutical_co_ltd,Hangzhou Hertz Pharmaceutical Co Ltd
company_artivila_therapeutics_shenzhen_co_ltd,Artivila Therapeutics (Shenzhen) Co Ltd
company_chirogate_international_inc,Chirogate International Inc
company_terran_biosciences,Terran Biosciences
company_sanofi_genzyme,Sanofi Genzyme
company_remix_therapeutics,Remix Therapeutics
company_university_of_wisconsin-madison,University of Wisconsin-Madison
company_cerespir_inc,CereSpir Inc
company_japan_tobacco_inc,Japan Tobacco Inc
company_pfizer_inc,Pfizer Inc
company_axxam_spa,Axxam SpA
company_insusense_aps,Insusense Aps
company_zhejiang_wenda_pharma_technology_ltd,Zhejiang Wenda Pharma Technology Ltd
company_st_andrews_university,St Andrews University
company_academia_sinica,Academia Sinica
company_chang_gung_memorial_hospital,Chang Gung Memorial Hospital
company_taipei_veterans_general_hospital,Taipei Veterans General Hospital
company_centre_for_addiction_and_mental_health,Centre for Addiction and Mental Health
company_uwm_research_foundation_inc,UWM Research Foundation Inc
company_gismo_therapeutics_inc,Gismo Therapeutics Inc
company_chonbuk_national_university,Chonbuk National University
company_chonbuk_national_university_industry_cooperation_foundation,Chonbuk National University Industry Cooperation Foundation
company_chonnam_national_university,Chonnam National University
company_konkuk_university,Konkuk University
company_neuroventi,Neuroventi
company_fundaci_n_para_la_investigaci_n_biom_dica_del_hospital_de_la_princesa,Fundación Para La Investigación Biomédica Del Hospital De La Princesa
company_spanish_national_research_council,Spanish National Research Council
company_johannes_gutenberg_universitat_mainz,Johannes Gutenberg Universitat Mainz
company_universit_tsmedizin_der_johannes_gutenberg-universit_t_mainz,Universitätsmedizin der Johannes Gutenberg-Universität Mainz
company_suzhou_kintor_pharmaceuticals_inc,Suzhou Kintor Pharmaceuticals Inc
company_3+2_pharma,3+2 Pharma
company_duke_university,Duke University
company_leibniz_institute_for_natural_product_research_and_infection_biology_ev_-_hans-kn_ll-institute,Leibniz Institute for Natural Product Research and Infection Biology eV - Hans-Knöll-Institute
company_university_of_cologne,University of Cologne
company_university_of_munster,University of Munster
company_vifor_international_sa,Vifor (International) SA
company_royal_college_of_surgeons_in_ireland,Royal College of Surgeons in Ireland
company_china_pharmaceutical_university,China Pharmaceutical University
company_university_of_utah,University of Utah
company_viva_star_biosciences_suzhou_co_ltd,Viva Star Biosciences (Suzhou) Co Ltd
company_humanwell_healthcare_group_co_ltd,Humanwell Healthcare (Group) Co Ltd
company_wuhan_humanwell_innovative_drug_research_development_center_ltd_co,Wuhan Humanwell Innovative Drug Research & Development Center Ltd Co
company_university_of_florida,University of Florida
company_ramot_at_tel_aviv_university_ltd,Ramot at Tel Aviv University Ltd
company_the_university_of_hong_kong,The University of Hong Kong
company_university_of_missouri,University of Missouri
company_biosplice_therapeutics_inc,Biosplice Therapeutics Inc
company_perception_neuroscience_llc,Perception Neuroscience LLC
company_hua_medicine,Hua Medicine
company_shouyao_holdings_beijing_co_ltd,Shouyao Holdings (Beijing) Co Ltd
company_nanjing_minova_pharmaceutical_co_ltd,Nanjing Minova Pharmaceutical Co Ltd
company_aquinnah_pharmaceuticals_inc,Aquinnah Pharmaceuticals Inc
company_university_of_vermont,University of Vermont
company_arena_pharmaceuticals_inc,Arena Pharmaceuticals Inc
company_psilosterics_llc,PsiloSterics LLC
company_tme_therapeutics_llc,TME Therapeutics LLC
company_consejo_superior_de_investigaciones_cientificas,Consejo Superior de Investigaciones Cientificas
company_universidad_autonoma_de_madrid,Universidad Autonoma de Madrid
company_university_of_southern_denmark,University of Southern Denmark
company_gedeon_richter_ltd,Gedeon Richter Ltd
company_zhejiang_aixplorer_biotech_co_ltd,Zhejiang AIxplorer Biotech Co Ltd
company_ricoh_co_ltd,Ricoh Co Ltd
company_xuzhou_medical_university,Xuzhou Medical University
company_sensorium_therapeutics_inc,Sensorium Therapeutics Inc
company_napo_pharmaceuticals_inc,Napo Pharmaceuticals Inc
company_korea_ocean_research_development_institute,Korea Ocean Research & Development Institute
company_vernalis_r_d_ltd,Vernalis (R&D) Ltd
company_reunion_neuroscience_inc,Reunion Neuroscience Inc
company_china-japan_friendship_hospital_china-japan_friendship_clinical_medical_research_institute,China-Japan Friendship Hospital (China-Japan Friendship Clinical Medical Research Institute)
company_frequency_therapeutics_inc,Frequency Therapeutics Inc
company_ventus_therapeutics_us_inc,Ventus Therapeutics US Inc
company_valo_health_llc,Valo Health LLC
company_chongqing_fochon_pharmaceuticals_co_ltd,Chongqing Fochon Pharmaceuticals Co Ltd
company_chapman_university,Chapman University
company_rgenta_therapeutics,Rgenta Therapeutics
company_mayo_clinic_foundation,Mayo Clinic Foundation
company_icagen_inc,Icagen Inc
company_chdi_foundation_inc,CHDI Foundation Inc
company_korea_university_research_business_foundation_sejong_campus,Korea University Research & Business Foundation Sejong Campus
company_knu-industry_cooperation_foundation,KNU-Industry Cooperation Foundation
company_inserm,INSERM
company_samsara_therapeutics_inc,Samsara Therapeutics Inc
company_sorbonne_university,Sorbonne University
company_universit_de_paris_cit,Université de Paris Cité
company_wuhan_zhongcheng_health_bio-pharm_technology_co_ltd,Wuhan Zhongcheng Health Bio-Pharm Technology Co Ltd
company_vigil_neuroscience_inc,Vigil Neuroscience Inc
company_atlee_biotech_inc,Atlee Biotech Inc
company_jichi_medical_university,Jichi Medical University
company_cerevance_inc,Cerevance Inc
company_nimml_institute,NIMML Institute
company_tiaki_therapeutics_inc,Tiaki Therapeutics Inc
company_janssen_biotech_inc,Janssen Biotech Inc
company_medoncare_pharmaceutical_co_ltd,Medoncare Pharmaceutical Co Ltd
company_engrail_therapeutics_inc,Engrail Therapeutics Inc
company_nippon_shinyaku_co_ltd,Nippon Shinyaku Co Ltd
company_shanghai_meiyue_biotech_development_co_ltd,Shanghai MeiYue Biotech Development Co Ltd
company_shanghai_jingxin_biopharmaceutical_co_ltd,Shanghai Jingxin Biopharmaceutical Co Ltd
company_zhejiang_jingxin_pharmaceutical_co_ltd,Zhejiang Jingxin Pharmaceutical Co Ltd
company_reset_pharmaceuticals_inc,Reset Pharmaceuticals Inc
company_sanford-burnham_medical_research_institute,Sanford-Burnham Medical Research Institute
company_jnana_therapeutics_inc,Jnana Therapeutics Inc
company_galecto_biotech_ab,Galecto Biotech AB
company_psylo_pty_ltd,Psylo Pty Ltd
company_daegu-gyeongbuk_medical_innovation_foundation,Daegu-Gyeongbuk Medical Innovation Foundation
company_cereno_scientific_ab,Cereno Scientific AB
