mechanism_id,name,action_type,target_id
mechanism_dyrk_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,DYRK protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_dyrk
mechanism_dyrk-1_beta_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,DYRK-1 beta protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_dyrk-1_beta
mechanism_dyrk-2_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,DYRK-2 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_dyrk-2
mechanism_dyrk-3_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,DYRK-3 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_dyrk-3
mechanism_casein_kinase-i_delta_modulator,Casein kinase-I delta modulator,modulator,target_casein_kinase-i_delta
mechanism_abl_tyrosine_kinase_inhibitor_inhibitor,Abl tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_abl_tyrosine
mechanism_general_transcription_factor_ii-i_inhibitor,General transcription factor II-I inhibitor,inhibitor,target_general_transcription_factor_ii-i
mechanism_histone_deacetylase-3_inhibitor,Histone deacetylase-3 inhibitor,inhibitor,target_histone_deacetylase-3
mechanism_histone_deacetylase-6_inhibitor,Histone deacetylase-6 inhibitor,inhibitor,target_histone_deacetylase-6
mechanism_histone_deacetylase-1_inhibitor,Histone deacetylase-1 inhibitor,inhibitor,target_histone_deacetylase-1
mechanism_histone_deacetylase-2_inhibitor,Histone deacetylase-2 inhibitor,inhibitor,target_histone_deacetylase-2
mechanism_sterile_alpha_tir_motif_protein_1_inhibitor,Sterile alpha TIR motif protein 1 inhibitor,inhibitor,target_sterile_alpha_tir_motif_protein_1
mechanism_proline_rich_receptor_like_kinase_perk_inhibitor,Proline rich receptor like kinase PERK inhibitor,inhibitor,target_proline_rich_receptor_like_kinase_perk
mechanism_crf-2_receptor_antagonist_antagonist_agonist,CRF-2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_crf-2
mechanism_tlr-2_antagonist_agonist,TLR-2 antagonist;agonist,antagonist;agonist,target_tlr-2
mechanism_hdac6_stimulator,HDAC6 stimulator,stimulator,target_hdac6
mechanism_histone_deacetylase-6_stimulator,Histone deacetylase-6 stimulator,stimulator,target_histone_deacetylase-6
mechanism_tar_dna_binding_protein_43_inhibitor,TAR DNA binding protein 43 inhibitor,inhibitor,target_tar_dna_binding_protein_43
mechanism_dcc_gene_inhibitor,DCC gene inhibitor,inhibitor,target_dcc_gene
mechanism_mucin_stimulator,Mucin stimulator,stimulator,target_mucin
mechanism_rtn4_gene_inhibitor,RTN4 gene inhibitor,inhibitor,target_rtn4_gene
mechanism_sema6a_gene_inhibitor,SEMA6A gene inhibitor,inhibitor,target_sema6a_gene
mechanism_cxcr4_chemokine_modulator,CXCR4 chemokine modulator,modulator,target_cxcr4_chemokine
mechanism_btk_tyrosine_kinase_inhibitor_inhibitor,Btk tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_btk_tyrosine
mechanism_lim_homeobox_protein_lmx1a_modulator,LIM homeobox protein LMX1A modulator,modulator,target_lim_homeobox_protein_lmx1a
mechanism_tyrosine_hydroxylase_modulator,Tyrosine hydroxylase modulator,modulator,target_tyrosine_hydroxylase
mechanism_homeobox_engrailed_protein_1_modulator,Homeobox engrailed protein 1 modulator,modulator,target_homeobox_engrailed_protein_1
mechanism_foxa2_transcription_factor_modulator,FOXA2 transcription factor modulator,modulator,target_foxa2_transcription_factor
mechanism_orphan_nuclear_receptor_nurr1_modulator,Orphan nuclear receptor NURR1 modulator,modulator,target_orphan_nuclear_receptor_nurr1
mechanism_ngf_receptor_agonist_agonist,NGF receptor agonist;agonist,receptor agonist;agonist,target_ngf
mechanism_gaba_a_receptor_agonist_agonist,GABA A receptor agonist;agonist,receptor agonist;agonist,target_gaba_a
mechanism_amylin_receptor_antagonist_antagonist_agonist,Amylin receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_amylin
mechanism_nmda_glycine_antagonist_agonist,NMDA glycine antagonist;agonist,antagonist;agonist,target_nmda_glycine
mechanism_unspecified_gpcr_modulator,Unspecified GPCR modulator,modulator,target_unspecified_gpcr
mechanism_jun_n_terminal_kinase-2_inhibitor,Jun N terminal kinase-2 inhibitor,inhibitor,target_jun_n_terminal_kinase-2
mechanism_hexokinase_4_inhibitor,Hexokinase 4 inhibitor,inhibitor,target_hexokinase_4
mechanism_p38_map_kinase_alpha_inhibitor,p38 MAP kinase alpha inhibitor,inhibitor,target_p38_map_kinase_alpha
mechanism_casein_kinase_i_inhibitor,Casein kinase I inhibitor,inhibitor,target_casein_kinase_i
mechanism_arg_tyrosine_kinase_inhibitor_inhibitor,Arg tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_arg_tyrosine
mechanism_cak_tyrosine_kinase_receptor_inhibitor,Cak tyrosine kinase receptor inhibitor,inhibitor,target_cak_tyrosine_kinase_receptor
mechanism_ddr2_tyrosine_kinase_receptor_inhibitor,Ddr2 tyrosine kinase receptor inhibitor,inhibitor,target_ddr2_tyrosine_kinase_receptor
mechanism_mekkk-4_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,MEKKK-4 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_mekkk-4
mechanism_jun_n_terminal_kinase-1_inhibitor,Jun N terminal kinase-1 inhibitor,inhibitor,target_jun_n_terminal_kinase-1
mechanism_jun_n_terminal_kinase-3_inhibitor,Jun N terminal kinase-3 inhibitor,inhibitor,target_jun_n_terminal_kinase-3
mechanism_tnf_receptor_associated_factor_2_inhibitor,TNF receptor associated factor 2 inhibitor,inhibitor,target_tnf_receptor_associated_factor_2
